ONEID	ONEName	NEID	NEName	NEType	ShelfID	BrdID	BrdType	BrdName	PortID	PortNO	PortName	MOType	FBName	PathID	EventID	EventName	Period	EndTime	Value	UnitName	PMParameterName	PMLocationID	PMLocation	UpLevel	DownLevel	ResultOfLevel	
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	252	FEC_BEF_COR_ER	15M	2016-09-22 02:30:00+00:00	7	 	PMP_FEC_BEF_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	253	FEC_AFT_COR_ER	15M	2016-09-22 02:30:00+00:00	0	 	PMP_FEC_AFT_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15010	FEC_BEF_COR_ERAVR	15M	2016-09-22 02:30:00+00:00	7	 	PMP_FEC_BEF_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15009	FEC_AFT_COR_ERAVR	15M	2016-09-22 02:30:00+00:00	0	 	PMP_FEC_AFT_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14926	FEC_BEF_CORER_FLOAT	15M	2016-09-22 02:30:00+00:00	4.790e-07	 	PMP_FEC_BEF_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14927	FEC_AFT_CORER_FLOAT	15M	2016-09-22 02:30:00+00:00	0	 	PMP_FEC_AFT_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	133	FEC_COR_0BIT_CNT	15M	2016-09-22 02:45:00+00:00	597620	 	PMP_FEC_COR_0BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	134	FEC_COR_1BIT_CNT	15M	2016-09-22 02:45:00+00:00	48931545	 	PMP_FEC_COR_1BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	135	FEC_COR_BYTE_CNT	15M	2016-09-22 02:45:00+00:00	49529165	 	PMP_FEC_EC	1	PML_NEAR_END_Rx	10	10	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	252	FEC_BEF_COR_ER	15M	2016-09-22 02:45:00+00:00	7	 	PMP_FEC_BEF_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	253	FEC_AFT_COR_ER	15M	2016-09-22 02:45:00+00:00	0	 	PMP_FEC_AFT_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15010	FEC_BEF_COR_ERAVR	15M	2016-09-22 02:45:00+00:00	7	 	PMP_FEC_BEF_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15009	FEC_AFT_COR_ERAVR	15M	2016-09-22 02:45:00+00:00	0	 	PMP_FEC_AFT_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14926	FEC_BEF_CORER_FLOAT	15M	2016-09-22 02:45:00+00:00	4.870e-07	 	PMP_FEC_BEF_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14927	FEC_AFT_CORER_FLOAT	15M	2016-09-22 02:45:00+00:00	0	 	PMP_FEC_AFT_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	133	FEC_COR_0BIT_CNT	15M	2016-09-22 03:00:00+00:00	610700	 	PMP_FEC_COR_0BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	134	FEC_COR_1BIT_CNT	15M	2016-09-22 03:00:00+00:00	49301103	 	PMP_FEC_COR_1BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	135	FEC_COR_BYTE_CNT	15M	2016-09-22 03:00:00+00:00	49911803	 	PMP_FEC_EC	1	PML_NEAR_END_Rx	10	10	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	252	FEC_BEF_COR_ER	15M	2016-09-22 03:00:00+00:00	7	 	PMP_FEC_BEF_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	253	FEC_AFT_COR_ER	15M	2016-09-22 03:00:00+00:00	0	 	PMP_FEC_AFT_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15010	FEC_BEF_COR_ERAVR	15M	2016-09-22 03:00:00+00:00	7	 	PMP_FEC_BEF_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
